Comment,Designator,Footprint,LCSC Part #
100n/16V,"C_HSW_IN, C_HVBUS_100n, C_P3V3_1, C_P3V3_2",C_0402_1005Metric,C1525
22u/10V,C_HVBUS_BULK,C_0805_2012Metric,C6119898
B5819W,D_VSYS,D_SOD-123,C8598
USBLC6-2SC6,"ESD_D, ESD_H",SOT-23-6,C2687116
MIPI-20,J3,FTSH-110-01-DV,C20728453
USB-A HOST,J5,USB_A_Receptacle_GCT_USB1046,C6307429
CORTEX-10,J6,FTSH-105-01-DV,C448647
JST-SH-3 DEBUG_PROBE,J7,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403
USB-MICROB PWR,J8,USB_Micro-B_Molex_47346-0001,C132560
USB-MICROB DEV,J9,USB_Micro-B_Molex_47346-0001,C132560
STEMMA-QT,J_STEMMA,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C51940130
1x20 FEMALE SOCKET,"PICO1, PICO2, J1B, J2B",PinSocket_1x20_P2.54mm_Vertical,C124410
1x03 PIN HEADER,"JP1, J_UART, J10",PinHeader_1x03_P2.54mm_Vertical,C124376
1x02 PIN HEADER,"JP2, JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,C124375
LED,"LED_PWR, LED_USER",LED_0603_1608Metric,C12624
22,"R_DDM, R_DDP, R_HDM, R_HDP",R_0402_1005Metric,C114765
1.5k,R_DPU,R_0402_1005Metric,C114759
15k,"R_HDM_PD, R_HDP_PD",R_0402_1005Metric,C25756
100k,R_HVEN_PD,R_0402_1005Metric,C60491
8.2k,"R_J9VD_B, R_J9VD_T, R_NVD_B, R_NVD_T",R_0402_1005Metric,C413094
1k,"R_LED_PWR, R_LED_USER",R_0402_1005Metric,C106235
0.1,R_SHUNT,R_1206_3216Metric,C844896
27,"Rt1, Rt2, Rt3, Rt4, Rt5",R_0402_1005Metric,C25100
RESET,SW1,SW_SPST_B3S-1000,C2733655
USER,SW_USER,SW_SPST_B3S-1000,C2733655
TPS2051B,U_HSW,SOT-23-5,C24593
INA180A1DBVR,U_ISNS,SOT-23-5,C122228
