Designator,Mid X,Mid Y,Layer,Rotation
C_HSW_IN,68.5000,41.0000,Top,0.0
C_HVBUS_100n,70.0000,29.2000,Top,270.0
C_HVBUS_BULK,73.0000,30.0000,Top,270.0
C_P3V3_1,28.0000,11.0000,Top,180.0
C_P3V3_2,48.6000,10.8000,Top,0.0
D_VSYS,4.9000,18.9050,Top,0.0
ESD_D,77.5000,44.7000,Top,0.0
ESD_H,66.7000,20.0000,Top,0.0
J3,14.8900,59.2000,Top,90.0
J5,78.6150,20.0000,Top,90.0
J6,52.4000,59.2000,Top,90.0
J7,69.5700,59.2000,Top,0.0
J8,29.4000,3.9000,Top,180.0
J9,88.2550,45.0000,Top,90.0
J_STEMMA,48.1000,3.9000,Top,180.0
LED_PWR,4.0000,9.6000,Top,270.0
LED_USER,56.3000,8.6000,Top,270.0
R_DDM,69.0000,45.6500,Top,0.0
R_DDP,69.0000,43.7500,Top,0.0
R_DPU,63.0000,45.4000,Top,270.0
R_HDM,59.1000,21.0000,Top,0.0
R_HDM_PD,63.7900,22.8500,Top,270.0
R_HDP,59.1000,19.0000,Top,0.0
R_HDP_PD,63.7900,17.1500,Top,90.0
R_HVEN_PD,65.6400,41.6000,Top,270.0
R_J9VD_B,80.9000,47.3000,Top,270.0
R_J9VD_T,82.6000,47.3000,Top,90.0
R_LED_PWR,4.0000,12.1000,Top,90.0
R_LED_USER,56.3000,11.6000,Top,90.0
R_NVD_B,54.5000,9.0000,Top,270.0
R_NVD_T,52.9000,9.0000,Top,90.0
R_SHUNT,64.6000,31.5000,Top,0.0
Rt1,4.7550,44.8000,Top,90.0
Rt2,9.8350,44.8000,Top,90.0
Rt3,12.3750,44.8000,Top,90.0
Rt4,14.9150,44.8000,Top,90.0
Rt5,17.4550,44.8000,Top,90.0
SW1,79.0600,59.9550,Top,0.0
SW_USER,71.5000,7.5000,Top,0.0
U_HSW,64.5000,38.2000,Top,0.0
U_ISNS,64.6000,34.6000,Top,0.0
