Ref,Val,Package,PosX,PosY,Rot,Side
"C_HSW_IN","100n/16V","C_0402_1005Metric",68.500000,-41.000000,0.000000,top
"C_HVBUS_100n","100n/16V","C_0402_1005Metric",70.000000,-29.200000,-90.000000,top
"C_HVBUS_BULK","22u/10V","C_0805_2012Metric",73.000000,-30.000000,-90.000000,top
"C_P3V3_1","100n/16V","C_0402_1005Metric",28.000000,-11.000000,180.000000,top
"C_P3V3_2","100n/16V","C_0402_1005Metric",48.600000,-10.800000,0.000000,top
"D_VSYS","B5819W","D_SOD-123",4.900000,-18.905000,0.000000,top
"ESD_D","USBLC6-2SC6","SOT-23-6",77.500000,-44.700000,0.000000,top
"ESD_H","USBLC6-2SC6","SOT-23-6",66.700000,-20.000000,0.000000,top
"J1B","BREAKOUT","PinSocket_1x20_P2.54mm_Vertical",2.215000,-47.800000,90.000000,top
"J2B","BREAKOUT","PinSocket_1x20_P2.54mm_Vertical",50.475000,-15.600000,-90.000000,top
"J3","MIPI-20","FTSH-110-01-DV",14.890000,-59.200000,90.000000,top
"J5","USB-A HOST","USB_A_Receptacle_GCT_USB1046",78.615000,-20.000000,90.000000,top
"J6","CORTEX-10","FTSH-105-01-DV",52.400000,-59.200000,90.000000,top
"J7","JST-SH-3 DEBUG_PROBE","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",69.570000,-59.200000,0.000000,top
"J8","USB-C PWR","USB_C_PWR_HRO_TYPE-C-31-M-12",29.400000,-4.150000,180.000000,top
"J9","USB-C DEV","USB_C_DEV_HRO_TYPE-C-31-M-12",87.850000,-45.000000,90.000000,top
"J10","SWD","PinHeader_1x03_P2.54mm_Vertical",58.600000,-57.500000,90.000000,top
"JP1","5V SEL","PinHeader_1x03_P2.54mm_Vertical",9.960000,-10.655000,90.000000,top
"JP2","GP0 GUARD","PinHeader_1x02_P2.54mm_Vertical",2.215000,-52.255000,90.000000,top
"JP3","GP6 GUARD","PinHeader_1x02_P2.54mm_Vertical",22.535000,-52.255000,90.000000,top
"JP4","VBUS_DET EN","PinHeader_1x02_P2.54mm_Vertical",19.730000,-10.655000,90.000000,top
"J_STEMMA","STEMMA-QT","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",48.100000,-3.900000,180.000000,top
"J_UART","UART0","PinHeader_1x03_P2.54mm_Vertical",59.260000,-10.655000,90.000000,top
"LED_PWR","LED","LED_0603_1608Metric",4.000000,-9.600000,-90.000000,top
"LED_USER","LED","LED_0603_1608Metric",56.300000,-8.600000,-90.000000,top
"PICO","Pico2","RaspberryPi_Pico_Common_THT",2.215000,-40.890000,90.000000,top
"R_CC1","5.1k","R_0402_1005Metric",21.300000,-6.900000,-90.000000,top
"R_CC2","5.1k","R_0402_1005Metric",22.600000,-6.900000,-90.000000,top
"R_CC3","5.1k","R_0402_1005Metric",78.500000,-53.100000,-90.000000,top
"R_CC4","5.1k","R_0402_1005Metric",80.350000,-53.000000,-90.000000,top
"R_DDM","22","R_0402_1005Metric",69.000000,-45.650000,0.000000,top
"R_DDP","22","R_0402_1005Metric",69.000000,-43.750000,0.000000,top
"R_DPU","1.5k","R_0402_1005Metric",63.000000,-45.400000,-90.000000,top
"R_HDM","22","R_0402_1005Metric",59.100000,-21.000000,0.000000,top
"R_HDM_PD","15k","R_0402_1005Metric",63.790000,-22.850000,-90.000000,top
"R_HDP","22","R_0402_1005Metric",59.100000,-19.000000,0.000000,top
"R_HDP_PD","15k","R_0402_1005Metric",63.790000,-17.150000,90.000000,top
"R_HVEN_PD","100k","R_0402_1005Metric",65.640000,-41.600000,-90.000000,top
"R_J9VD_B","8.2k","R_0402_1005Metric",82.000000,-52.000000,-90.000000,top
"R_J9VD_T","8.2k","R_0402_1005Metric",83.500000,-52.000000,90.000000,top
"R_LED_PWR","1k","R_0402_1005Metric",4.000000,-12.100000,90.000000,top
"R_LED_USER","1k","R_0402_1005Metric",56.300000,-11.600000,90.000000,top
"R_NVD_B","8.2k","R_0402_1005Metric",54.500000,-9.000000,-90.000000,top
"R_NVD_T","8.2k","R_0402_1005Metric",52.900000,-9.000000,90.000000,top
"R_SHUNT","0.1","R_1206_3216Metric",64.599999,-31.500000,0.000000,top
"Rt1","27","R_0402_1005Metric",4.755000,-44.800000,90.000000,top
"Rt2","27","R_0402_1005Metric",9.835000,-44.800000,90.000000,top
"Rt3","27","R_0402_1005Metric",12.375000,-44.800000,90.000000,top
"Rt4","27","R_0402_1005Metric",14.915000,-44.800000,90.000000,top
"Rt5","27","R_0402_1005Metric",17.455000,-44.800000,90.000000,top
"SW1","RESET","SW_SPST_B3S-1000",79.060000,-59.955000,0.000000,top
"SW_USER","USER","SW_SPST_B3S-1000",71.500000,-7.500000,0.000000,top
"U_HSW","TPS2051B","SOT-23-5",64.500000,-38.200000,0.000000,top
"U_ISNS","INA180A1DBVR","SOT-23-5",64.599999,-34.600000,0.000000,top
